c |  Solving Time         :      3.806ms
c |  Solving Time         :      3.809ms
c |  Solving Time         :      3.829ms
c |  Solving Time         :      3.839ms
c |  Solving Time         :      3.854ms
c |  Solving Time         :      3.889ms
c |  Solving Time         :      3.946ms
c |  Solving Time         :      3.954ms
c |  Solving Time         :      3.968ms
c |  Solving Time         :      3.982ms
c |  Solving Time         :      4.059ms
c |  Solving Time         :      4.062ms
c |  Solving Time         :      4.086ms
c |  Solving Time         :      4.093ms
c |  Solving Time         :      4.155ms
c |  Solving Time         :      4.156ms
c |  Solving Time         :      4.198ms
c |  Solving Time         :      4.217ms
c |  Solving Time         :      4.224ms
c |  Solving Time         :      4.246ms
c |  Solving Time         :      4.252ms
c |  Solving Time         :      4.273ms
c |  Solving Time         :      4.292ms
c |  Solving Time         :      4.339ms
c |  Solving Time         :      4.344ms
c |  Solving Time         :      4.396ms
c |  Solving Time         :      4.410ms
c |  Solving Time         :      4.423ms
c |  Solving Time         :      4.428ms
c |  Solving Time         :      4.497ms
c |  Solving Time         :      4.513ms
c |  Solving Time         :      4.618ms
c |  Solving Time         :      4.626ms
c |  Solving Time         :      4.639ms
c |  Solving Time         :      4.725ms
c |  Solving Time         :      4.738ms
c |  Solving Time         :      4.752ms
c |  Solving Time         :      4.766ms
c |  Solving Time         :      4.792ms
c |  Solving Time         :      4.881ms
c |  Solving Time         :      4.954ms
c |  Solving Time         :      5.013ms
c |  Solving Time         :      5.048ms
c |  Solving Time         :      5.048ms
c |  Solving Time         :      5.065ms
c |  Solving Time         :      5.084ms
c |  Solving Time         :      5.089ms
c |  Solving Time         :      5.131ms
c |  Solving Time         :      5.137ms
c |  Solving Time         :      5.163ms
c |  Solving Time         :      5.181ms
c |  Solving Time         :      5.184ms
c |  Solving Time         :      5.200ms
c |  Solving Time         :      5.243ms
c |  Solving Time         :      5.244ms
c |  Solving Time         :      5.287ms
c |  Solving Time         :      5.325ms
c |  Solving Time         :      5.329ms
c |  Solving Time         :      5.332ms
c |  Solving Time         :      5.337ms
c |  Solving Time         :      5.350ms
c |  Solving Time         :      5.362ms
c |  Solving Time         :      5.390ms
c |  Solving Time         :      5.415ms
c |  Solving Time         :      5.447ms
c |  Solving Time         :      5.606ms
c |  Solving Time         :      5.632ms
c |  Solving Time         :      5.667ms
c |  Solving Time         :      5.687ms
c |  Solving Time         :      5.736ms
c |  Solving Time         :      5.834ms
c |  Solving Time         :      5.875ms
c |  Solving Time         :      5.930ms
c |  Solving Time         :      5.932ms
c |  Solving Time         :      5.948ms
c |  Solving Time         :      5.971ms
c |  Solving Time         :      6.003ms
c |  Solving Time         :      6.019ms
c |  Solving Time         :      6.034ms
c |  Solving Time         :      6.069ms
c |  Solving Time         :      6.119ms
c |  Solving Time         :      6.161ms
c |  Solving Time         :      6.195ms
c |  Solving Time         :      6.203ms
c |  Solving Time         :      6.282ms
c |  Solving Time         :      6.323ms
c |  Solving Time         :      6.365ms
c |  Solving Time         :      6.371ms
c |  Solving Time         :      6.492ms
c |  Solving Time         :      6.510ms
c |  Solving Time         :      6.636ms
c |  Solving Time         :      6.638ms
c |  Solving Time         :      6.768ms
c |  Solving Time         :      6.803ms
c |  Solving Time         :      6.824ms
c |  Solving Time         :      6.863ms
c |  Solving Time         :      6.907ms
c |  Solving Time         :      6.938ms
c |  Solving Time         :      7.040ms
c |  Solving Time         :      7.073ms
c |  Solving Time         :      7.092ms
c |  Solving Time         :      7.174ms
c |  Solving Time         :      7.204ms
c |  Solving Time         :      7.274ms
c |  Solving Time         :      7.316ms
c |  Solving Time         :      7.333ms
c |  Solving Time         :      7.359ms
c |  Solving Time         :      7.382ms
c |  Solving Time         :      7.431ms
c |  Solving Time         :      7.639ms
c |  Solving Time         :      7.661ms
